Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J21284492+4858415,2MASS J21284492+4858415,2MASS_J21285379+4859153,2MASS J21285379+4859153,21,28,53.7980,48,59,15.437,J2000,11.21
HD_208960,HD 208960,2MASS_J21582171+6100394,2MASS J21582171+6100394,21,58,21.7081,61,00,39.313,J2000,10.98
HIP_105369,HIP 105369,2MASS_J21201727+4527236,2MASS J21201727+4527236,21,20,17.2675,45,27,23.624,J2000,11.93
2MASS_J21293894+4858086,2MASS J21293894+4858086,2MASS_J21301019+4857562,2MASS J21301019+4857562,21,30,10.1983,48,57,56.179,J2000,11.06
2MASS_J21475650+4408234,2MASS J21475650+4408234,2MASS_J21474948+4408018,2MASS J21474948+4408018,21,47,49.4880,44,08,01.880,J2000,12.22
HD_213306,HD 213306,HD_213224,HD 213224,22,28,25.9703,58,25,20.298,J2000,8.54
HIP_110964,HIP 110964,2MASS_J22281032+5811068,2MASS J22281032+5811068,22,28,10.3415,58,11,06.986,J2000,11.57
HD_240059,HD 240059,2MASS_J22461054+5925597,2MASS J22461054+5925597,22,46,10.5391,59,25,59.629,J2000,10.71
2MASS_J22022921+5708383,2MASS J22022921+5708383,2MASS_J22023806+5706466,2MASS J22023806+5706466,22,02,38.0772,57,06,46.564,J2000,12.37
2MASS_J22073545+5521459,2MASS J22073545+5521459,2MASS_J22071485+5518277,2MASS J22071485+5518277,22,07,14.8582,55,18,27.674,J2000,12.32
2MASS_J22233861+5740508,2MASS J22233861+5740508,2MASS_J22241133+5742040,2MASS J22241133+5742040,22,24,11.3358,57,42,04.026,J2000,11.85
--,--,--,--,--,--,--,--,--,--,--,--
HD_240073,HD 240073,2MASS_J22490574+5623297,2MASS J22490574+5623297,22,49,05.7497,56,23,29.818,J2000,10.73
HD_235739,HD 235739,2MASS_J22085359+5057291,2MASS J22085359+5057291,22,08,53.5970,50,57,29.218,J2000,10.1
HD_214975,HD 214975,2MASS_J22403087+5647315,2MASS J22403087+5647315,22,40,30.8747,56,47,31.576,J2000,11.12
HD_240024,HD 240024,2MASS_J22414381+5626560,2MASS J22414381+5626560,22,41,43.8166,56,26,56.021,J2000,10.62
HIP_108630,HIP 108630,2MASS_J22004905+4329138,2MASS J22004905+4329138,22,00,49.0540,43,29,13.886,J2000,10.34
--,--,--,--,--,--,--,--,--,--,--,--
HD_239994,HD 239994,2MASS_J22335757+5721457,2MASS J22335757+5721457,22,33,57.5692,57,21,45.901,J2000,10.93
HD_216105,HD 216105,2MASS_J22490574+5623297,2MASS J22490574+5623297,22,49,05.7497,56,23,29.818,J2000,10.73
HIP_116556,HIP 116556,2MASS_J23375968+6225153,2MASS J23375968+6225153,23,37,59.6948,62,25,15.443,J2000,12.09
HIP_117690,HIP 117690,2MASS_J23515288+5842485,2MASS J23515288+5842485,23,51,52.8730,58,42,48.572,J2000,9.76
HIP_114160,HIP 114160,2MASS_J23072231+5836105,2MASS J23072231+5836105,23,07,22.3225,58,36,10.431,J2000,11.72
